id|word|kana
954|凛冽|RINRETSU
955|日照り|HIDERI
956|日和|HIYORI
957|澄み切る|SUMIKIRU
958|牡丹|BOTAN
959|深雪|MIYUKI
960|雪煙|YUKIKEMURI
961|雪肌|YUKIHADA
962|渚|NAGISA
963|下り坂|KUDARIZAKA
964|カレンダー|KARENDA-
965|忘れ物|WASUREMONO
966|碧落|HEKIRAKU
967|スピード|SUPI-DO
968|火輪|KARIN
969|落葉|OCHIBA
970|十六夜|IZAYOI
971|笑み|EMI
972|センチ|SENCHI
973|あふれる|AFURERU
974|ニュース|NYU-SU
975|一閃|ISSEN
976|稲妻|INAZUMA
977|逆光|GYAKKOU
978|バズる|BAZURU
979|遮光|SHAKOU
980|斜光|SHAKOU
981|夜光|YAKOU
982|バス|BASU
983|電車|DENSHA
984|車|KURUMA
985|ドライブ|DORAIBU
986|香水|KOUSUI
987|香り|KAORI
988|チャンス|CHANSU
989|見送る|MIOKURU
990|いつでも|ITSUDEMO
991|かかと|KAKATO
992|スピンオフ|SUPINOFU
993|くだらない|KUDARANAI
994|疎ましさ|UTOMASHISA
995|美徳|BITOKU
996|敗北感|HAIBOKUKAN
997|ハイタッチ|HAITACCHI
998|失くす|NAKUSU
999|チート|CHI-TO
1000|無理ゲー|MURIGE-
1001|ライバル|RAIBARU
1002|マジ|MAJI
1003|ダントツ|DANTOTSU
1004|ピカイチ|PIKAICHI
1005|鏡|KAGAMI
1006|まじない|MAJINAI
1007|超|CHOU
1008|存在|SONZAI
1009|高飛車|TAKA BISHA
1010|バレット|BARETTO
1011|言霊|KOTODAMA
1012|傷|KIZU
1013|もしも|MOSHIMO
1014|悲しみ|KANASHIMI
1015|見上げた|MIAGETA
1016|心配|SHINPAI
1017|土砂降り|DOSHABURI
1018|砕ける|KUDAKERU
1019|気まま|KIMAMA
1020|滲む|NIJIMU
1021|さようなら|SAYOUNARA
1022|いつか|ITSUKA
1023|袖|SODE
1024|したり顔|SHITARIGAO
1025|天国|TENGOKU
1026|地獄|JIGOKU
1027|鎖|KUSARI
1028|噛む|KAMU
1029|縄|NAWA
1030|東方風|TOUHUUFUU
1031|空白|KUHAKU
1032|木隠れ|KOGAKURE
1033|足跡|ASHITATO
1034|分かれ道|WAKAREMICHI
1035|発布美人|HAPPOBIJIN
1036|キャンバス|KYANBASU
1037|ニュアンス|NYUANSU
1038|曖昧|AIMAI
1039|淡い|AWAI
1040|パレット|PARETTO
1041|素直|SUNAO
1042|ポケット|POKETTO
1043|魔法|MAHOU
1044|願い|NEGAI
1045|もしも|MOSHIMO
1046|秘密|HIMITSU
1047|拭う|NUGUU
1048|おそれ|OSORE
1049|猫|NEKO
1050|犬|INU
1051|夢中|MUCHUU
1052|刺激|SHIGEKI
1053|思考回路|SHIKOUKAIRO
1054|惹かれる|HIKARERU
1055|瞳|HITOMI
1056|横顔|YOKOGAO
1057|しまう|SHIMAU
1058|知ってるふり|SHITTERUFURI
1059|惹かれる|HIKARERU
1060|造花|ZOUKA
1061|我慢|GAMAN
1062|仏|HOTOKE
1063|神|KAMI
1064|かっぴらく|KAPPIRAKU
1065|もったいない|MOTTAINAI
1066|一度きり|ICHIDOKIRI
1067|食べる|TABERU
1068|飲む|NOMU
1069|遅い|OSOI
1070|廻る|MEGURU
1071|陽気|YOUKI
1072|ダサい|DASAI
1073|散々|SANZAN
1074|トリック|TORIKKU
1075|タクシー|TAKUSHI-
1076|秒針|BYOSHIN
1077|駆け抜け|KAKENUKE
1078|おしゃま|OSHAMA
1079|メイク|MEIKU
1080|洒落|SHARE
1081|唱和|SHOWA
1082|ダンス|DANSU
1083|限界|GENKAI
1084|アンサー|ANSA-
1085|導き|MICHIBIKI
1086|劣等感|RETTOUKAN
1087|グッバイ|GUBBAI
1088|自由|JIYUU
1089|オレンジ|ORENJI
1090|汗|ASE
1091|甘酸っぱい|AMAZUPPAI
1092|眩しい|MABUSHII
1093|秒|BYOU
1094|惜しい|OSHII
1095|息|IKI
1096|描く|EGAKU
1097|想像|SOUZOU
1098|しっかりもの|SHIKKARIMONO
1099|怪物|KAIBUTSU
1100|手紙|TEGAMI
1101|狂う|KURUU
1102|くすぐる|KUSUGURU
1103|転生|TENSEI
1104|青春|SEISHUN
1105|問い|TOI
1106|友|TOMO
1107|彼氏|KARESHI
1108|彼女|KANOJO
1109|恋人|KOIBITO
1110|いない|INAI
1111|はじめ|HAJIME
1112|答え合わせ|KOTAEAWASE
1113|バカ|BAKA
1114|まぬけ|MANUKE
1115|ドジ|DOJI
1116|天然|TENNEN
1117|枯れ|KARE
1118|めんどくさい|MENDOKUSAI
1119|面倒|MENDOU
1120|演じる|ENJIRU
1121|抱く|DAKU
1122|ピーク|PI-KU
1123|天気|TENKI
1124|テレビ|TEREBI
1125|チャイム|CHAIMU
1126|運命|UNMEI
1127|ぼんやり|BONYARI
1128|まぶた|MABUTA
1129|該当|GAITOU
1130|すりむく|SURIMUKU
1131|螺旋|RASEN
1132|憎い|NIKUI
1133|奪う|UBAU
1134|意思|ISHI
1135|ゆらぐ|YURAGU
1136|いじわる|IJIWARU
1137|月並み|TSUKINAMI
1138|泣き虫|NAKIMUSHI
1139|色恋|IROKOI
1140|女神|MEGAMI
1141|手遅れ|TEOKURE
1142|センス|SENSU
1143|ハート|HA-TO
1144|乙女|OTOME
1145|革命|KAKUMEI
1146|ネガ|NEGA
1147|エゴ|EGO
1148|悪意|AKUI
1149|ギリギリ|GIRIGIRI
1150|フラッシュバック|FURASSHUBAKKU
1151|コミュニケーション|KOMYUNIKE-SHON
1152|とどめ|TODOME
1153|臆病|OKUBYOU
1154|整理|SEIRI
1155|めまい|MEMAI
1156|見惚れ|MITORE
1157|力む|RIKIMU
1158|飛び乗る|TOBINORU
1159|不景気|FUKEIKI
1160|ドア|DOA
1161|アスファルト|ASUFARUTO
1162|エンドレス|ENDORESU
1163|塵|CHIRI
1164|うずく|UZUKU
1165|照らす|TERASU
1166|不器用|BUKIYOU
1167|酒|SAKE
1168|裂け|SAKE
1169|避け|SAKE
1170|バー|BAA
1171|居酒屋|IZAKAYA
1172|帰り道|KAERIMICHI
1173|通学路|TSUGAKURO
1174|寝坊|NEBOU
1175|恵み|MEGUMI
1176|土|TSUCHI
1177|凪ぐ|NAGU
1178|近い|CHIKAI
1179|遠い|TOOI
1180|勘違い|KANCHIGAI
1181|ラッキー|RAKKI-
1182|叶う|KANAU
1183|スカート|SUKA-TO
1184|まつ毛|MATSUGE
1185|駐車場|CHUSHJOU
1186|励まし|HAGEMASHI
1187|殴る|NAGURU
1188|三半規管|SANHANKIKAN
1189|ダメダメ|DAMEDAME
1190|合図|AIZU
1191|占い|URANAI
1192|鈍感|DONKAN
1193|果実|KAJITSU
1194|かさぶた|KASABUTA
1195|繊細|SENSAI
1196|大胆|DAITAN
1197|冒険|BOUKEN
1198|種|TANE
1199|親友|SHINYU
1200|宝石|HOUSEKI
1201|振りかざす|FURIKAZASU
1202|かき乱す|KAKIMIDASU
1203|心臓|SHINZOU
1204|贅沢|ZEITAKU
1205|リミッター|RIMITTA-
1206|優越|YUETSU
1207|真似|MANE
1208|じれったい|JIRETTAI
1209|まくる|MAKURU
1210|嘘|USO
1211|憶えて|OBOETE
1212|ふさわしい|FUSAWASHII
1213|紙一重|KAMIKITOE
1214|引き換え|HIKIKAE
1215|憂い|UREI
1216|砂|SUNA
1217|さしあたり|SASHIATARI
1218|取り繕う|TORITSUKUROU
1219|大げさ|OOGESA
1220|背中|SENAKA
1221|ごまかし|GOMAKASHI
1222|あぶり出す|ABURIDASU
1223|愚か|OROKA
1224|バグ|BAGU
1225|アルゴリズム|ARUGORIZUMU
1226|二重|NIJUU
1227|面相|MENSOU
1228|おそろい|OSOROI
1229|甘える|AMAERU
1230|偽り|ITSUWARI
1231|マスク|MASUKU
1232|口癖|KUCHIGUSE
1233|お詫び|OWABI
1234|吐息|TOIKI
1235|前倣え|MAENARAE
1236|脱ぐ|NUGU
1237|秘める|HIMERU
1238|裸足|HADASHI
1239|でたらめ|DETARAME
1240|ありえない|ARIENAI
1241|無力|MURYOKU
1242|糧|KATE
1243|絶望|ZETSUBOU
1244|救う|SUKUU
1245|欠落|KETSURAKU
1246|巨星|KYOSEI
1247|絡まる|KARAMARU
1248|歪む|YUGAMU
1249|宿命|SHUKUMEI
1250|致命的|CHIMEITEKI
1251|必然|HITSUZEN
1252|ファタール|FATA-RU
1253|最愛|SAIAI
1254|羽|HANE
1255|ジャック|JAKKU
1256|視界|SHIKAI
1257|雑魚|ZAKO
1258|昇華|SHOUKA
1259|悔やむ|KUYAMU
1260|胸|MUNE
1261|足掻く|AGAKU
1262|捧げる|SASAGERU
1263|ほっぺた|HOPPETA
1264|ふくれっ面|FUKURETTSURA
1265|訳知り顔|WAKESHIRIGAO
1266|涼しい顔|SUZUSHIIKAO
1267|童顔|DOUGAN
1268|宇宙|UCHUU
1269|キス|KISU
1270|たくさん|TAKUSAN
1271|全開|ZENKAI
1272|喝采|KASSAI
1273|もがれる|MOGARERU
1274|旋律|SENRITSU
1275|相反|SOUHAN
1276|カーテンコール|KA-TENKO-RU
1277|左右|SAYUU
1278|出力|SHUTSURYOKU
1279|再会|SAIKAI
1280|来世|RAISE
1281|星|HOSHI
1282|思い出す|OMOIDASU
1283|巡る|MEGURU
1284|募る|TSUNORU
1285|不意|FUI
1286|相性|AISHOU
1287|妄想|MOUSOU
1288|交わり|MAJIWARI
1289|星屑|HOSHIKUZU
1290|最低|SAITEI
1291|ついてく|TSUITEKU
1292|脳内|NOUNAI
1293|アプデ|APUDE
1294|ステージ|SUTE-JI
1295|時代|JIDAI
1296|背負う|SEOU
1297|悩める|NAYAMERU
1298|弛まず|TARUMAZU
1299|古今東西|KOKONTOUZAI
1300|カウンセリング|KAUNSERINGU
1301|有耶無耶|UYAMUYA
1302|土壇場|DOTANBA
1303|かばう|KABAU
1304|酔う|YOU
1305|ロマンティック|ROMANTHIKKU
1306|虚弱|KYOJAKU
1307|生き様|IKIZAMA
1308|指揮権|SHIKIKEN
1309|チェーンソー|CHE-NSO-
1310|いやらしい|IYARASHII
1311|どけ|DOKE
1312|ルール|RU-RU
1313|無様|BUZAMA
1314|説教|SEKKYOU
1315|どうぞ|DOUZO
1316|腐った|KUSATTA
1317|ごみ|GOMI
1318|いじらしい|IJIRASHII
1319|通せんぼ|TOOSENBO
1320|ショット|SHOTTO
1321|不純|FUJUN
1322|中華|CHUKA
1323|グラス|GURASU
1324|誘導|YUUDOU
1325|計る|HAKARU
1326|列車|RESSHA
1327|博愛|HAKUAI
1328|コンマ|KONMA
1329|勘|KAN
1330|マイク|MAIKU
1331|五感|GOKAN
1332|ガール|GA-RU
1333|舞い戻る|MAIMODORU
1334|変わらない|KAWARANAI
1335|何して|NANNISHITE
1336|電流|DENRYUU
1337|無我夢中|MUGAMUCHUU
1338|オンボロ|ONBORO
1339|ラジオ|RAJIO
1340|言えない|IENAI
1341|安い|YASUI
1342|日々|HIBI
1343|過去|KAKO
1344|クラゲ|KURAGE
1345|除く|NOZOKU
1346|頬|HOHO
1347|背伸び|SENOBI
1348|絶えず|TAEZU
1349|うつむく|UTSUMUKU
1350|追いつけない|OITSUKENAI
1351|思い出|OMOIDE
1352|寝ぼけ眼|NEBOKEMANAKO
1353|三白眼|SANPAKUGAN
1354|切れ長|KIRENAGA
1355|忘れる|WASURERU
1356|言い訳|IIWAKE
1357|繕う|TSUKUROU
1358|深海|SHINKAI
1359|森|MORI
1360|覚める|SAMERU
1361|冷める|SAMERU
1362|穴|ANA
1363|真っ白|MASSHIRO
1364|くるみ|KURUMI
1365|朝まだき|ASAMADAKI
1366|あけぼの|AKEBONO
1367|立夏|RIKKA
1368|死んじゃう|SHINJAU
1369|疲れる|TSUKARERU
1370|高い|TAKAI
1371|不思議|FUSHIGI
1372|マグカップ|MAGUKAPPU
1373|眉|MAYU
1374|幸福|KOUFUKU
1375|手探り|TESAGURI
1376|卯月|UZUKI
1377|皐月|SATSUKI
1378|水無月|MINAZUKI
1379|五月雨|SAMIDARE
1380|はらはら|HARAHARA
1381|師走|SHIWASU
1382|掃除|SOUJI
1383|買い出し|KAIDASHI
1384|桔梗|KIKYOU
1385|港|MINATO
1386|竜胆|RINDOU
1387|なでしこ|NADESHIKO
1388|きつね|KITSUNE
1389|たぬき|TANUKI
1390|ため息|TAMEIKI
1391|撫でる|NADERU
1392|束|TABA
1393|魂|TAMASHII
1394|跳ねる|HANERU
1395|駅|EKI
1396|気球|KIKYU
1397|ペンキ|PENKI
1398|高架|KOUKA
1399|吹く|FUKU
1400|隙間|SUKIMA
1401|億劫|OKKUU
1402|はらり|HARARI
1403|吹雪|FUBUKI
1404|マーチ|MA-CHI
1405|エモ|EMO
1406|魚|SAKANA
1407|愛想|AISOU
1408|証明|SHOUMEI
1409|叫ぶ|SAKEBU
1410|上手|JOUZU
1411|たまんない|TAMANNAI
1412|白痴|HAKUCHI
1413|吠える|HOERU
1414|偽善|GIZEN
1415|賭け|KAKE
1416|引火|INKA
1417|圏外|KENGAI
1418|ソファ|SOFA
1419|包丁|HOUCHOU
1420|まとも|MATOMO
1421|あくび|AKUBI
1422|サンセット|SANSETTO
1423|キリ|KIRI
1424|ダーリン|DA-RIN
1425|靴紐|KUTSUHIMO
1426|麻|ASA
1427|柔らかい|YAWARAKAI
1428|想像|SOUZOU
1429|潮風|SHIOKAZE
1430|肌|HADA
1431|ライオン|RAION
1432|ペンギン|PENGIN
1433|虎|TORA
1434|ピアノ|PIANO
1435|防衛|BOUEI
1436|本能|HONNOU
1437|おひさま|OHISAMA
1438|途方に暮れる|TOHOUNIKURERU
1439|夕凪|YUUNAGI
1440|とろとろ|TOROTORO
1441|しょうがない|SHOGANAI
1442|葡萄|BUDOU
1443|落ちていく|OCHITEIKU
1444|はにかむ|HANIKAMU
1445|嵐|ARASHI
1446|型に合う|KATANIAU
1447|丘|OKA
1448|蝶|CHOU
1449|ゆっくり|YUKKURI
1450|海原|UNABARA
1451|飲み干す|NOMIHOSU
1452|満ちる|MICHIRU
1453|ひらり|HIRARI
1454|行ったり来たり|ITTARIKITARI
1455|花咲く|HANASAKU
1456|水際|MIZUKIWA
1457|微笑む|HOHOEMU
1458|海猫|UMINEKO
1459|揉まれ|MOMARE
1460|里|SATO
1461|消ゆ|KIYU
1462|手を降る|TEWOFURU
1463|月光浴|GEKKOUYOKU
1464|背びれ|SEBIRE
1465|泳ぐ|OYOGU
1466|覚束ない|OBOTSUKANAI
1467|二日酔い|FUTSUKAYOI
1468|コップ|KOPPU
1469|歯ブラシ|HABURASHI
1470|化粧水|KESHOSUI
1471|ラベンダー|RABENDA-
1472|シンク|SHINKU
1473|マフラー|MAFURAA
1474|じっと|JITTO
1475|生活感|SEIKATSUKAN
1476|地図|CHIZU
1477|花瓶|KABIN
1478|ペン|PEN
1479|鞄|KABAN
1480|盲目的|MOUMOKUTEKI
1481|人生|JINSEI
1482|分からず屋|WAKARAZUYA
1483|メモ|MEMO
1484|ホーム|HO-MU
1485|もっと|MOTTO
1486|ナイトショー|NAITOSHO-
1487|ワンシーン|WANSHI-N
1488|爆破|BAKUHA
1489|吹き飛ぶ|FUKITOBU
1490|真下|MASHITA
1491|バケツ|BAKETSU
1492|薄い|USUI
1493|濃い|KOI
1494|歳|TOSHI
1495|誇大|KODAI
1496|広告|KOUKOKU
1497|脳裏|NOURI
1498|才覚|SAIKAKU
1499|器量|KIRYOU
1500|浅ましい|ASAMASHII
1501|妬ましい|NETAMASHII
1502|前置き|MAEOKI
1503|嗚呼|AA
1504|褒める|HOMERU
1505|褒めちぎる|HOMECHIGIRU
1506|まぁ|MAA
1507|上っ面|UWATTSURA
1508|化けの皮|BAKENOKAWA
1509|罵倒|BATOU
1510|足りない|TARINAI
1511|知りたい|SHIRITAI
1512|溶かす|TOKASU
1513|美しい|UTSUKUSHII
1514|ギター|GITA-
1515|ベース|BE-SU
1516|ドラム|DORAMU
1517|6畳間|ROKUJOUKAN
1518|サンダー|SANDA-
1519|パン|PAN
1520|カプチーノ|KAPUCHI-NO
1521|ウイスキー|WHISUKI-
1522|焼酎|SHOUCHUU
1523|日本酒|NIHONSHU
1524|ワイン|WAIN
1525|カクテル|KAKUTERU
1526|コーヒー|KO-HI-
1527|キッチン|KICCHIN
1528|髮|HATSU
1529|心|KOKORO
1530|オーバー|O-BA-
1531|赤らんで|AKARANDE
1532|応答|OUTOU
1533|水滴|SUITEKI
1534|俯瞰|FUKAN
1535|呪う|NOROU
1536|爪先|TSUMASAKI
1537|世間|SEKEN
1538|嫌悪|KENO
1539|グルーヴ|GURU-VU
1540|真空|SHINKUU
1541|ブレーメン|BURE-MEN
1542|インディゴ|INDEIGO
1543|細胞|SAIBOU
1544|せいぜい|SEIZEI
1545|アイス|AISU
1546|探す|SAGASU
1547|色褪せ|IROASE
1548|タイムカード|TAIMUKA-DO
1549|カード|KA-DO
1550|タロット|TAROTTO
1551|トランプ|TORANPU
1552|麻雀|MAJAN
1553|ポーカー|PO-KA-
1554|空想|KUUSOU
1555|蝕む|MUSHIBAMU
1556|バーゲン|BA-GEN
1557|喰む|HAMU
1558|レプリカ|REPURIKA
1559|チープ|CHI-PU
1560|レトロ|RETORO
1561|SF|ESUEFU
1562|映画|EIGA
1563|寿命|JUMYOU
1564|近未来|KINMIRAI
1565|未来|MIRAI
1566|ドラマ|DORAMA
1567|信号|SHINGOU
1568|価値観|KACHIKAN
1569|年老いて|TOSHIOITE
1570|カルマ|KARUMA
1571|ビー玉|BI-DAMA
1572|流れ弾|NAGARE DAMA
1573|ループ|RU-PU
1574|博士|HAKASE
1575|寝転ぶ|NEKOROBU
1576|プロット|PUROTTO
1577|ノート|NO-TO
1578|水道|SUIDOU
1579|ガス|GASU
1580|見紛う|MIMAGAU
1581|零す|KOBOSU
1582|食卓|SHOKUTAKU
1583|詩|UTA
1584|二乗|NIJOU
1585|ざわめく|ZAWAMEKU
1586|人生相談|JINSEISOUDAN
1587|苦しさ|KURUSHISA
1588|苦い|NIGAI
1589|テンション|TENSHON
1590|コック|KOKKU
1591|サスペンス|SASUPENSU
1592|ニーチェ|NI-CHE
1593|フロイト|FUROITO
1594|アルキメデス|ARUKIMEDESU
1595|アインシュタイン|AINSHUTAIN
1596|ガレリオ|GARERIO
1597|ストーリー|SUTO-RI-
1598|散り際|CHIRIGIWA
1599|先生|SENSEI
1600|駅前|EKIMAE
1601|マシ|MASHI
1602|どうした|DOUSHITA
1603|口づけ|KUCHIZUKE
1604|路傍|ROBOU
1605|満ちる|MICHIRU
1606|不満|FUMAN
1607|獣|KEMONO
1608|振り|FURI
1609|不利|FURI
1610|有利|YUURI
1611|互角|GOKAKU
1612|一切合切|ISSAIGASSAI
1613|ピック|PIKKU
1614|悪意|AKUI
1615|波止場|HATOBA
1616|病人|BYOUNIN
1617|喉奥|NODOKU
1618|どうでもいい|DOUDEMOII
1619|最低|SAITEI
1620|ロックンロール|ROKKUNRO-RU
1621|共振|KYOUSHIN
1622|狭心|KYOSHIN
1623|広い|HIROI
1624|狭い|SEMAI
1625|露天商|ROTENSHOU
1626|マイノリティ|MAINORITHI
1627|戦争|SENSOU
1628|自殺|JISATSU
1629|憂鬱|YUUTSU
1630|青天井|AOTENJOU
1631|パンク|PANKU
1632|泥棒|DOROBOU
1633|排気ガス|HAIKIGASU
1634|刺す|SASU
1635|挿す|SASU
1636|鮮明|SENMEI
1637|不鮮明|FUSENMEI
1638|札束|SATSUTABA
1639|シャワー|SHAWA-
1640|風呂|FURO
1641|観光|KANKOU
1642|これ以上|KOREIJOU
1643|理由|RIYUU
1644|とがらす|TOGARASU
1645|転ぶ|KOROBU
1646|思い通り|OMOIDOORI
1647|歩幅|HOHABA
1648|コツ|KOTSU
1649|オーケストラ|O-KESUTORA
1650|絨毯|JUUTAN
1651|しまう|SHIMAU
1652|光明|KOUMYOU
1653|赤面|SEKIMEN
1654|過失|KASHITSU
1655|差異|SAI
1656|哀|AI
1657|記念|KINEN
1658|掌握|SHOUAKU
1659|脅威|KYOUI
1660|冷淡|REITAN
1661|希望|KIBOU
1662|喪失|SOUSHITSU
1663|頂点|CHOUTEN
1664|魂胆|KONTAN
1665|微風|BIFUU
1666|悲壮|HISOU
1667|黙示|MOKUSHI
1668|約束|YAKUSOKU
1669|反逆|HANGYAKU
1670|絶対|ZETTAI
1671|再興|SAIKOU
1672|流儀|RYUUGI
1673|消息|SHOUSOKU
1674|永劫|EIGOU
1675|共鳴|KYOUMEI
1676|別離|BETSURI
1677|余韻|YOIN
1678|昇天|SHOTEN
1679|標的|HYOUTEKI
1680|分岐|BUNKI
1681|収束|SHUSOKU
1682|直感|CHOKKAN
1683|確信|KAKUSHIN
1684|美学|BIGAKU
1685|危機|KIKI
1686|到達|TOUTATSU
1687|吸引|KYUIN
1688|無垢|MUKU
1689|絶景|ZEKKEI
1690|栄光|EIKOU
1691|天啓|TENKEI
1692|繁栄|HANEI
1693|救援|KYUEN
1694|覚悟|KAKUGO
1695|神秘|SHINPI
1696|快楽|KAIRAKU
1697|混乱|KONRAN
1698|堅実|KENJITSU
1699|永遠|EIEN
1700|偉業|IGYOU
1701|アド|ADO
1702|練度|RENDO
1703|死神|SHINIGAMI
1704|吸血鬼|KYUUKETSUKI
1705|姫|HIME
1706|サークル|SA-KURU
1707|制度|SEIDO
1708|精度|SEIDO
1709|丁寧|TEINEI
1710|景色|KESHIKI
1711|雰囲気|FUNIKI
1712|ふわふわ|FUWAFUWA
1713|繭|MAYU
1714|積み木|TSUMIKI
1715|焦り|ASERI
1716|情景|JOUKEI
1717|着飾る|KIKAZARU
1718|綺麗|KIREI
1719|オーバードーズ|O-BA-DO-ZU
1720|泡|AWA
1721|シャンプー|SHANPU-
1722|石鹸|SEKKEN
1723|湿気|SHIKKE
1724|深夜|SHINYA
1725|ノイズ|NOIZU
1726|水辺|MIZUBE
1727|絡み|KARAMI
1728|旋律|SENRITSU
1729|気まぐれ|KIMAGURE
1730|サウンド|SAUNDO
1731|檻|ORI
1732|ジャーニー|JA-NI-
1733|淡い|AWAI
1734|疑心暗鬼|GISHINANKI
1735|テレビ|TEREBI
1736|ビル|BIRU
1737|生き急ぐ|IKIISOGU
1738|寂しさ|SABISHISA
1739|飛行|HIKOU
1740|コンビニ|KONBINI
1741|霧|KIRI
1742|垂れ幕|TAREMAKU
1743|流行り|HAYARI
1744|はしゃぐ|HASHAGU
1745|燻る|IBURU
1746|不貞腐れる|FUTESARERU
1747|綱渡り|TSUNAWATARI
1748|重なる|KASANARU
1749|ショーウインドウ|SHO-UINDOU
1750|真っ当|MATTOU
1751|アイデンティティ|AIDENTITHI
1752|掘る|HORU
1753|つれづれ|TSUREZURE
1754|うねり|UNERI
1755|すり減らす|SURIHERASU
1756|爪|TSUME
1757|何気ない|NANIGENAI
1758|花びら|HANABIRA
1759|見渡す|MIWATASU
1760|口ずさむ|KUCHIZUSAMU
1761|方角|HOUGAKU
1762|素通り|SUDOORI
1763|学生|GAKUSEI
1764|デジャヴ|DEJAVU
1765|スロー|SURO-
1766|吐息|TOIKI
1767|もどかしい|MODOKASHII
1768|だんだん|DANDAN
1769|あくび|AKUBI
1770|メロディ|MERODI
1771|目印|MEJIRUSHI
1772|リボン|RIBON
1773|おみやげ|OMIYAGE
1774|果て|HATE
1775|引き返せない|HIKIKAESENAI
1776|手繰り寄せる|TAGURIYOSERU
1777|糸|ITO
1778|篝火|KAGARIBI
1779|巡る|MEGURU
1780|廻る|MAWARU
1781|まんまる|MANMARU
1782|クライマックス|KURAIMAKKUSU
1783|いちいち|ICHICHI
1784|ちっとも|CHITTOMO
1785|くれぐれ|KUREGURE
1786|ひだまり|HIDAMARI
1787|くたびれた|KUTABIRETA
1788|悲鳴|HIMEI
1789|風船|FUUSEN
1790|街路樹|GAIROJU
1791|相槌|AIZUCHI
1792|へらへら|HERAHERA
1793|隅|SUMI
1794|脚光|KYAKKOU
1795|綺麗事|KIREIGOTO
1796|暇つぶし|HIMATSUBUSHI
1797|頷く|UNAZUKU
1798|雫|SHIZUKU
1799|音符|ONPU
1800|勇気|YUUKI
1801|カウント|KAUNTO
1802|愛読書|AIDOKUSHO
1803|化けの皮|BAKENOKAWA
1804|特等席|TOKUTOUSEKI
1805|目隠し|MEKAKUSHI
1806|サイレン|SAIREN
1807|こぼれ|KOBORE
1808|屋根|YANE
1809|狭間|HAZAMA
1810|踏切|FUMIKIRI
1811|銀河|GINGA
1812|落書き|RAKUGAKI
1813|つぎはぎ|TSUGIHAGI
1814|容易い|TAYASUI
1815|基準|KIJUN
1816|クレヨン|KUREYON
1817|闇雲|YAMIKUMO
1818|鍵|KAGI
1819|取捨選択|SHUSHASENTAKU
1820|性懲り|SHOUKORI
1821|だいそれた|DAISORETA
1822|離れたくない|HANARETAKUNAI
1823|気高い|KEDAKAI
1824|ハズレ宇治|HAZUREUJI
1825|シャボン玉|SHABONDAMA
1826|天気予報|TENKIYOHOU
1827|ガム|GAMU
1828|ビルボード|BIRUBO-DO
1829|名乗る|NANORU
1830|ランドリー|RANDORI-
1831|がら空き|GARAAKI
1832|ヤバイ|YABAI
1833|炭酸|TANSAN
1834|彼方|KANATA
1835|些細|SASAI
1836|起きがけ|OKIGAKE
1837|瞬く|MATATAKU
1838|スーパースター|SU-PA-SUTA-
1839|LED|ERUI-DI-
1840|イラつく|IRATSUKU
1841|ゲラゲラ|GERAGERA
1842|喉笛|NODOFUE
1843|穿つ|UGATSU
1844|産声|UBUGOE
1845|抗う|ARAGAU
1846|アザ|AZA
1847|切っ先|KISSAKI
1848|舵|KAJI
1849|カンカン照り|KANKANDERI
1850|ひしゃげる|HISHAGERU
1851|背丈|SETAKE
1852|背負う|SEOU
1853|無邪気|MUJYAKI
1854|絆される|HODASARERU
1855|グラビティ|GURABITHI
1856|背反|HAIHAN
1857|スイート|SUI-TO
1858|リップ|RIPPU
1859|思い込み|OMOIKOMI
1860|落ちていく|OCHITEIKU
1861|病弱|BYOUJAKU
1862|アンドロイド|ANDOROIDO
1863|発情|HATSUJOU
1864|発条|BANE
1865|がらんどう|GARANDOU
1866|メランコリー|MERANKORI-
1867|おまじない|OMAJINAI
1868|沿線|ENSEN
1869|スムージー|SUMU-JI-
1870|チーズ|CHI-ZU
1871|シート|SHI-TO
1872|ミント|MINTO
1873|トラウマ|TORAUMA
1874|仄か|HONOKA
1875|麻酔|MASUI
1876|鼻先|HANASAKI
1877|路地|ROJI
1878|身軽|MIGARU
1879|ゆめうつつ|YUMEUTSUTSU
1880|月光|GEKKOU
1881|オルガン|ORUGAN
1882|スタチュー|SUTACHU-
1883|翻る|HIRUGAERU
1884|追い風|OIKAZE
1885|汚れ|YOGORE
1886|癒やす|IYASU
1887|にべもなし|NIBEMONASHI
1888|ベルベット|BERUBETTO
1889|髪飾り|KAMIKAZARI
1890|恋敵|KOIGATAKI
1891|わびしい|WABISHII
1892|フラミンゴ|FURAMINGO
1893|狼狽|ROUBAI
1894|泡銭|ABUKUZEI
1895|畜生|CHIKUSHOU
1896|閻魔|ENMA
1897|猿芝居|SARUSHIBAI
1898|毎度あり|MAIDOARI
1899|砂漠|SABAKU
1900|テディベア|THEDIBEA
1901|叡智|EICHI
1902|メンソール|MENTHO-RU
1903|ワゴン|WAGON
1904|トワイライト|TOWAIRAITO
1905|サイコロ|SAIKORO
1906|ニタニタ|NITANITA
1907|雷鳴|RAIMEI
1908|ツラ|TSURA
1909|しみったれた|SHIMITTARETA
1910|ダークホース|DA-KUHO-SU
1911|ニヒル|NIHIRU
1912|グルーミー|GURU-MI-
1913|奥底|OKUSOKO
1914|茶化す|CHAKASU
1915|カス|KASU
1916|瓶|BIN
1917|巡りくる|MEGURUKURU
1918|ブロンズ|BURONZU
1919|馬鹿げてる|BAKAGETERU
